10,10,10,25,5
10,10,10,25,10
10,10,10,25,15
10,10,10,30,5
10,10,10,30,10
10,10,10,30,15
10,10,10,30,20
10,10,10,35,5
10,10,10,35,25
10,10,10,40,5
10,10,10,40,25
10,10,15,25,10
10,10,15,25,15
10,10,15,30,10
10,10,15,30,15
10,10,15,30,20
10,10,15,35,25
10,10,15,40,25
10,10,20,25,15
10,10,20,30,15
10,10,20,30,20
10,10,20,35,25
10,10,20,40,25
10,10,25,35,25
10,10,25,40,25
10,15,10,25,5
10,15,10,25,10
10,15,10,25,15
10,15,10,30,5
10,15,10,30,10
10,15,10,30,15
10,15,10,30,20
10,15,10,35,5
10,15,10,35,25
10,15,10,40,5
10,15,10,40,25
10,15,15,25,5
10,15,15,25,10
10,15,15,25,15
10,15,15,30,5
10,15,15,30,10
10,15,15,30,15
10,15,15,30,20
10,15,15,35,5
10,15,15,35,25
10,15,15,40,5
10,15,15,40,25
10,15,20,25,10
10,15,20,25,15
10,15,20,30,10
10,15,20,30,15
10,15,20,30,20
10,15,20,35,25
10,15,20,40,25
10,15,25,35,25
10,15,25,40,25
10,20,10,25,5
10,20,10,25,10
10,20,10,25,15
10,20,10,30,5
10,20,10,30,10
10,20,10,30,15
10,20,10,30,20
10,20,10,35,5
10,20,10,35,25
10,20,10,40,5
10,20,10,40,25
10,20,15,25,5
10,20,15,25,10
10,20,15,25,15
10,20,15,30,5
10,20,15,30,10
10,20,15,30,15
10,20,15,30,20
10,20,15,35,5
10,20,15,35,25
10,20,15,40,5
10,20,15,40,25
10,20,20,25,5
10,20,20,25,10
10,20,20,25,15
10,20,20,30,5
10,20,20,30,10
10,20,20,30,15
10,20,20,30,20
10,20,20,35,5
10,20,20,35,25
10,20,20,40,5
10,20,20,40,25
10,20,25,25,15
10,20,25,30,10
10,20,25,30,15
10,20,25,30,20
10,20,25,35,25
10,20,25,40,25
10,20,30,40,15
10,20,30,40,20
10,20,30,40,25
10,25,10,25,5
10,25,10,25,10
10,25,10,30,5
10,25,10,30,10
10,25,10,30,15
10,25,10,35,5
10,25,10,40,5
10,25,10,40,25
10,25,15,25,5
10,25,15,25,10
10,25,15,30,5
10,25,15,30,10
10,25,15,30,15
10,25,15,35,5
10,25,15,40,5
10,25,15,40,25
10,25,20,25,5
10,25,20,25,10
10,25,20,30,5
10,25,20,30,10
10,25,20,30,15
10,25,20,35,5
10,25,20,40,5
10,25,20,40,25
10,25,25,25,5
10,25,25,25,10
10,25,25,30,5
10,25,25,30,10
10,25,25,30,15
10,25,25,35,5
10,25,25,40,5
10,25,25,40,25
10,25,30,35,15
10,25,30,35,20
10,25,30,40,10
10,25,30,40,15
10,25,30,40,20
10,25,30,40,25
10,30,10,30,5
10,30,10,35,5
10,30,10,35,10
10,30,10,40,5
10,30,10,40,10
10,30,10,40,15
10,30,15,30,5
10,30,15,35,5
10,30,15,35,10
10,30,15,40,5
10,30,15,40,10
10,30,15,40,15
10,30,20,30,5
10,30,20,35,5
10,30,20,35,10
10,30,20,40,5
10,30,20,40,10
10,30,20,40,15
10,30,25,30,5
10,30,25,35,5
10,30,25,35,10
10,30,25,40,5
10,30,25,40,10
10,30,25,40,15
10,30,30,30,5
10,30,30,35,5
10,30,30,35,10
10,30,30,40,5
10,30,30,40,10
10,30,30,40,15
15,10,10,25,5
15,10,10,25,10
15,10,10,25,15
15,10,10,30,5
15,10,10,30,10
15,10,10,30,15
15,10,10,30,20
15,10,10,35,5
15,10,10,35,25
15,10,10,40,5
15,10,10,40,25
15,10,15,25,10
15,10,15,25,15
15,10,15,30,10
15,10,15,30,15
15,10,15,30,20
15,10,15,35,25
15,10,15,40,25
15,10,20,25,15
15,10,20,30,15
15,10,20,30,20
15,10,20,35,25
15,10,20,40,25
15,10,25,35,25
15,10,25,40,25
15,15,10,25,5
15,15,10,25,10
15,15,10,25,15
15,15,10,30,5
15,15,10,30,10
15,15,10,30,15
15,15,10,30,20
15,15,10,35,5
15,15,10,35,25
15,15,10,40,5
15,15,10,40,25
15,15,15,25,5
15,15,15,25,10
15,15,15,25,15
15,15,15,30,5
15,15,15,30,10
15,15,15,30,15
15,15,15,30,20
15,15,15,35,5
15,15,15,35,25
15,15,15,40,5
15,15,15,40,25
15,15,20,25,10
15,15,20,25,15
15,15,20,30,10
15,15,20,30,15
15,15,20,30,20
15,15,20,35,25
15,15,20,40,25
15,15,25,30,15
15,15,25,30,20
15,15,25,35,25
15,15,25,40,25
15,15,30,40,20
15,15,30,40,25
15,20,10,25,5
15,20,10,25,10
15,20,10,25,15
15,20,10,30,5
15,20,10,30,10
15,20,10,30,15
15,20,10,30,20
15,20,10,35,5
15,20,10,35,25
15,20,10,40,5
15,20,10,40,25
15,20,15,25,5
15,20,15,25,10
15,20,15,25,15
15,20,15,30,5
15,20,15,30,10
15,20,15,30,15
15,20,15,30,20
15,20,15,35,5
15,20,15,35,25
15,20,15,40,5
15,20,15,40,25
15,20,20,25,5
15,20,20,25,10
15,20,20,25,15
15,20,20,30,5
15,20,20,30,10
15,20,20,30,15
15,20,20,30,20
15,20,20,35,5
15,20,20,35,25
15,20,20,40,5
15,20,20,40,25
15,20,25,25,15
15,20,25,30,10
15,20,25,30,15
15,20,25,30,20
15,20,25,35,25
15,20,25,40,25
15,20,30,35,20
15,20,30,35,25
15,20,30,40,15
15,20,30,40,20
15,20,30,40,25
15,25,10,25,5
15,25,10,25,10
15,25,10,25,15
15,25,10,30,5
15,25,10,30,10
15,25,10,30,15
15,25,10,30,20
15,25,10,35,5
15,25,10,35,25
15,25,10,40,5
15,25,10,40,25
15,25,15,25,5
15,25,15,25,10
15,25,15,25,15
15,25,15,30,5
15,25,15,30,10
15,25,15,30,15
15,25,15,30,20
15,25,15,35,5
15,25,15,35,25
15,25,15,40,5
15,25,15,40,25
15,25,20,25,5
15,25,20,25,10
15,25,20,25,15
15,25,20,30,5
15,25,20,30,10
15,25,20,30,15
15,25,20,30,20
15,25,20,35,5
15,25,20,35,25
15,25,20,40,5
15,25,20,40,25
15,25,25,25,5
15,25,25,25,10
15,25,25,25,15
15,25,25,30,5
15,25,25,30,10
15,25,25,30,15
15,25,25,30,20
15,25,25,35,5
15,25,25,35,25
15,25,25,40,5
15,25,25,40,25
15,25,30,30,15
15,25,30,30,20
15,25,30,35,10
15,25,30,35,15
15,25,30,35,20
15,25,30,35,25
15,25,30,40,10
15,25,30,40,15
15,25,30,40,20
15,25,30,40,25
15,30,10,25,5
15,30,10,30,5
15,30,10,30,10
15,30,10,35,5
15,30,10,35,10
15,30,10,35,15
15,30,10,40,5
15,30,10,40,10
15,30,10,40,15
15,30,10,40,20
15,30,15,25,5
15,30,15,30,5
15,30,15,30,10
15,30,15,35,5
15,30,15,35,10
15,30,15,35,15
15,30,15,40,5
15,30,15,40,10
15,30,15,40,15
15,30,15,40,20
15,30,20,25,5
15,30,20,30,5
15,30,20,30,10
15,30,20,35,5
15,30,20,35,10
15,30,20,35,15
15,30,20,40,5
15,30,20,40,10
15,30,20,40,15
15,30,20,40,20
15,30,25,25,5
15,30,25,30,5
15,30,25,30,10
15,30,25,35,5
15,30,25,35,10
15,30,25,35,15
15,30,25,40,5
15,30,25,40,10
15,30,25,40,15
15,30,25,40,20
15,30,30,25,5
15,30,30,25,10
15,30,30,30,5
15,30,30,30,10
15,30,30,35,5
15,30,30,35,10
15,30,30,35,15
15,30,30,40,5
15,30,30,40,10
15,30,30,40,15
15,30,30,40,20
20,10,10,25,5
20,10,10,25,10
20,10,10,25,15
20,10,10,30,5
20,10,10,30,10
20,10,10,30,15
20,10,10,30,20
20,10,10,35,5
20,10,10,35,25
20,10,10,40,5
20,10,10,40,25
20,10,15,25,10
20,10,15,25,15
20,10,15,30,10
20,10,15,30,15
20,10,15,30,20
20,10,15,35,25
20,10,15,40,25
20,10,20,25,15
20,10,20,30,10
20,10,20,30,15
20,10,20,30,20
20,10,20,35,25
20,10,20,40,25
20,10,25,30,20
20,10,25,35,25
20,10,25,40,25
20,15,10,25,5
20,15,10,25,10
20,15,10,25,15
20,15,10,30,5
20,15,10,30,10
20,15,10,30,15
20,15,10,30,20
20,15,10,35,5
20,15,10,35,25
20,15,10,40,5
20,15,10,40,25
20,15,15,25,5
20,15,15,25,10
20,15,15,25,15
20,15,15,30,5
20,15,15,30,10
20,15,15,30,15
20,15,15,30,20
20,15,15,35,5
20,15,15,35,25
20,15,15,40,5
20,15,15,40,25
20,15,20,25,10
20,15,20,25,15
20,15,20,30,10
20,15,20,30,15
20,15,20,30,20
20,15,20,35,25
20,15,20,40,25
20,15,25,30,15
20,15,25,30,20
20,15,25,35,25
20,15,25,40,25
20,15,30,35,25
20,15,30,40,20
20,15,30,40,25
20,20,10,25,5
20,20,10,25,10
20,20,10,25,15
20,20,10,30,5
20,20,10,30,10
20,20,10,30,15
20,20,10,30,20
20,20,10,35,5
20,20,10,35,25
20,20,10,40,5
20,20,10,40,25
20,20,15,25,5
20,20,15,25,10
20,20,15,25,15
20,20,15,30,5
20,20,15,30,10
20,20,15,30,15
20,20,15,30,20
20,20,15,35,5
20,20,15,35,25
20,20,15,40,5
20,20,15,40,25
20,20,20,25,5
20,20,20,25,10
20,20,20,25,15
20,20,20,30,5
20,20,20,30,10
20,20,20,30,15
20,20,20,30,20
20,20,20,35,5
20,20,20,35,25
20,20,20,40,5
20,20,20,40,25
20,20,25,25,10
20,20,25,25,15
20,20,25,30,10
20,20,25,30,15
20,20,25,30,20
20,20,25,35,25
20,20,25,40,25
20,20,30,35,15
20,20,30,35,20
20,20,30,35,25
20,20,30,40,15
20,20,30,40,20
